n_training,n_neurons,l_noise,train_algo,q_validate,q_regular,c_regular,epochs,stop,best_perf,best_vperf,best_tperf,net_true_error
200,5,0.1,trainbfg,TRUE,FALSE,0.5,23,Validation stop.,0.010689844,0.010275242,NaN,0.001599119
200,40,0.1,traingdx,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.007848252,NaN,NaN,0.001619469
200,20,0.1,trainlm,TRUE,FALSE,0.5,10,Validation stop.,0.009052648,0.009048903,NaN,0.00162846
1000,5,0.1,traingdx,TRUE,FALSE,0.5,133,Validation stop.,0.012014507,0.012310795,NaN,0.001635306
200,10,0.1,trainbfg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.006906584,NaN,NaN,0.001783746
1000,20,0.1,trainscg,TRUE,TRUE,1.00E-06,32,Validation stop.,0.01221147,0.010455039,NaN,0.001859126
200,5,0.1,trainscg,TRUE,FALSE,0.5,24,Validation stop.,0.011345678,0.011787683,NaN,0.001901868
200,20,0.1,traingdx,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.009055629,NaN,NaN,0.001936768
50,5,0.1,trainbfg,FALSE,TRUE,1.00E-06,710,Minimum gradient reached.,0.00782382,NaN,NaN,0.001957592
50,5,0.1,trainbfg,FALSE,FALSE,0.5,549,Minimum gradient reached.,0.00664469,NaN,NaN,0.001961637
200,5,0.1,trainscg,TRUE,TRUE,1.00E-06,24,Validation stop.,0.011591423,0.010600832,NaN,0.001998136
200,40,0.1,traingdx,FALSE,TRUE,0.1,1000,Maximum epoch reached.,83.83449118,NaN,NaN,0.002008176
1000,10,0.1,traingdx,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.011569617,NaN,NaN,0.002009836
200,40,0.1,trainlm,FALSE,TRUE,1.00E-06,3,Maximum MU reached.,0.007616275,NaN,NaN,0.002081065
1000,40,0.1,trainrp,FALSE,FALSE,0.5,1000,Maximum epoch reached.,55.20648254,NaN,NaN,0.0021
1000,20,0.1,trainrp,TRUE,TRUE,1.00E-06,263,Validation stop.,0.011181001,0.012050025,NaN,0.00212089
200,20,0.1,trainscg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.006107579,NaN,NaN,0.002149043
200,20,0.1,trainbfg,TRUE,TRUE,1.00E-06,19,Validation stop.,0.01161454,0.010234719,NaN,0.002151308
200,10,0.1,trainbfg,TRUE,TRUE,1.00E-06,43,Validation stop.,0.00918554,0.010710151,NaN,0.002160687
200,20,0.1,trainscg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.009119343,NaN,NaN,0.002210399
200,20,0.1,trainbfg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.006170617,NaN,NaN,0.0022137
1000,40,0.5,trainscg,FALSE,TRUE,0.1,1000,Maximum epoch reached.,0.452803408,NaN,NaN,0.00223879
200,10,0.1,trainscg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.010748467,NaN,NaN,0.002261503
1000,5,0.5,trainscg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.253513954,NaN,NaN,0.002285019
1000,40,0.1,trainrp,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.011294739,NaN,NaN,0.002325907
200,40,0.1,trainbfg,TRUE,TRUE,1.00E-06,33,Validation stop.,0.010060284,0.013853208,NaN,0.002334595
200,20,0.1,trainbfg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.008286028,NaN,NaN,0.002347045
50,5,0.1,trainlm,FALSE,TRUE,1.00E-06,6,Maximum MU reached.,0.006304992,NaN,NaN,0.002353366
1000,10,0.1,traingdx,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,8.586448361,NaN,NaN,0.0024
1000,5,0.5,trainlm,FALSE,FALSE,0.5,66,Minimum gradient reached.,0.238561106,NaN,NaN,0.002432586
200,20,0.1,trainscg,TRUE,FALSE,0.5,36,Validation stop.,0.010157912,0.011511989,NaN,0.002442506
50,5,0.1,trainbfg,TRUE,FALSE,0.5,17,Validation stop.,0.011862822,0.012386668,NaN,0.002469556
200,40,0.1,trainlm,TRUE,TRUE,1.00E-06,3,Maximum MU reached.,0.006674472,0.012421693,NaN,0.002471509
1000,5,0.5,trainlm,TRUE,FALSE,0.5,16,Validation stop.,0.228062531,0.246931862,NaN,0.002489379
50,5,0.1,trainscg,TRUE,TRUE,1.00E-06,32,Validation stop.,0.009516111,0.014796048,NaN,0.00249847
50,5,0.1,trainlm,TRUE,FALSE,0.5,11,Validation stop.,0.004948071,0.010882387,NaN,0.002499176
200,10,0.1,trainbfg,TRUE,FALSE,0.5,5,Validation stop.,0.041747969,0.041399106,NaN,0.0025
200,40,0.1,trainlm,TRUE,FALSE,0.5,8,Validation stop.,0.006069185,0.013277487,NaN,0.00250426
200,20,0.1,trainlm,FALSE,TRUE,1.00E-06,5,Maximum MU reached.,0.008964382,NaN,NaN,0.0025081
50,5,0.1,traingdx,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.007251795,NaN,NaN,0.002509393
1000,20,0.1,traingdx,TRUE,FALSE,0.5,117,Validation stop.,0.012480538,0.011449183,NaN,0.002515039
200,40,0.1,trainbfg,TRUE,FALSE,0.5,29,Validation stop.,0.010084362,0.012203852,NaN,0.002521584
200,20,0.1,trainrp,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.010216708,NaN,NaN,0.002537406
200,20,0.1,trainrp,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.009660597,NaN,NaN,0.002566657
1000,5,0.5,trainscg,TRUE,TRUE,1.00E-06,31,Validation stop.,0.252214643,0.270016902,NaN,0.002584764
1000,5,0.5,traingdx,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.233070438,NaN,NaN,0.002587917
1000,5,0.5,trainrp,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.241440661,NaN,NaN,0.002602663
1000,5,0.5,trainbfg,FALSE,FALSE,0.5,173,Minimum gradient reached.,0.251774784,NaN,NaN,0.002613213
200,10,0.1,traingdx,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.010563307,NaN,NaN,0.002652922
50,5,0.1,trainscg,TRUE,FALSE,0.5,22,Validation stop.,0.006842336,0.014175913,NaN,0.002661921
200,40,0.1,traingdx,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.008602718,NaN,NaN,0.002699949
50,5,0.1,trainbfg,TRUE,TRUE,1.00E-06,25,Validation stop.,0.01299537,0.010217859,NaN,0.002726214
50,5,0.1,traingdx,TRUE,TRUE,1.00E-06,128,Validation stop.,0.009931439,0.00686055,NaN,0.002762393
1000,10,0.5,traingdx,FALSE,TRUE,0.1,1000,Maximum epoch reached.,2.554604359,NaN,NaN,0.002791901
1000,20,0.5,trainbfg,TRUE,TRUE,0.1,131,Validation stop.,0.294096088,0.288724334,NaN,0.002895078
50,5,0.1,trainlm,TRUE,TRUE,1.00E-06,12,Maximum MU reached.,0.004104358,0.00909586,NaN,0.002897987
1000,10,0.1,trainscg,TRUE,FALSE,0.5,0,Validation stop.,3.360064209,3.463237808,NaN,0.0029
50,10,0.1,trainlm,TRUE,FALSE,0.5,11,Validation stop.,0.008639321,0.017434391,NaN,0.002947758
200,20,0.1,traingdx,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.009581399,NaN,NaN,0.002962555
200,10,0.1,traingdx,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.010996173,NaN,NaN,0.003028137
1000,40,0.5,trainbfg,FALSE,TRUE,0.1,1000,Maximum epoch reached.,0.251433778,NaN,NaN,0.003082352
200,20,0.1,trainlm,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.006902645,NaN,NaN,0.003117343
200,20,0.1,traingdx,TRUE,FALSE,0.5,121,Validation stop.,0.011235965,0.011833398,NaN,0.003140251
50,5,0.1,trainscg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.007141121,NaN,NaN,0.003175371
200,40,0.1,trainscg,TRUE,FALSE,0.5,49,Validation stop.,0.009232947,0.012835041,NaN,0.003182839
50,5,0.1,trainlm,FALSE,FALSE,0.5,14,Minimum gradient reached.,0.005282252,NaN,NaN,0.003271897
1000,40,0.1,trainbfg,FALSE,TRUE,0.1,1000,Maximum epoch reached.,0.064180043,NaN,NaN,0.003292365
1000,20,0.5,traingdx,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.25416885,NaN,NaN,0.00344509
1000,5,0.5,trainscg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.238025115,NaN,NaN,0.003463107
50,10,0.1,trainlm,FALSE,TRUE,1.00E-06,8,Maximum MU reached.,0.004516982,NaN,NaN,0.003481712
1000,20,0.1,traingdx,TRUE,TRUE,1.00E-06,120,Validation stop.,0.013928939,0.010939292,NaN,0.003495789
50,5,0.1,trainscg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.006691921,NaN,NaN,0.003498072
1000,5,0.5,trainbfg,TRUE,TRUE,1.00E-06,14,Validation stop.,0.252032173,0.244487505,NaN,0.003533645
50,5,0.1,trainrp,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.008623618,NaN,NaN,0.003536273
1000,40,0.1,trainscg,FALSE,TRUE,0.1,1000,Maximum epoch reached.,0.066319484,NaN,NaN,0.003640512
50,20,0.1,traingdx,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.004508581,NaN,NaN,0.003652595
200,40,0.1,trainbfg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,32.90822125,NaN,NaN,0.0037
1000,10,0.1,trainrp,TRUE,TRUE,1.00E-06,85,Validation stop.,0.013629806,0.01196013,NaN,0.003715662
200,20,0.1,trainlm,TRUE,TRUE,1.00E-06,5,Maximum MU reached.,0.009740106,0.013071319,NaN,0.00371877
50,10,0.1,trainbfg,TRUE,TRUE,1.00E-06,31,Validation stop.,0.010589069,0.010525523,NaN,0.003725658
1000,5,0.5,trainlm,TRUE,TRUE,1.00E-06,7,Maximum MU reached.,0.247761965,0.261765484,NaN,0.003758468
200,40,0.1,trainscg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.007622074,NaN,NaN,0.003760603
200,40,0.1,trainbfg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.006028467,NaN,NaN,0.003766895
1000,40,0.5,trainbfg,TRUE,TRUE,0.1,279,Validation stop.,0.274824645,0.274732735,NaN,0.003775081
200,40,0.1,trainscg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.006340944,NaN,NaN,0.003827351
200,40,0.1,trainscg,FALSE,TRUE,0.1,1000,Maximum epoch reached.,0.064928373,NaN,NaN,0.003849566
1000,5,0.5,trainbfg,TRUE,FALSE,0.5,23,Validation stop.,0.259002628,0.262751146,NaN,0.003931885
1000,5,0.5,trainlm,FALSE,TRUE,1.00E-06,7,Maximum MU reached.,0.259649854,NaN,NaN,0.003941922
50,20,0.1,trainbfg,TRUE,FALSE,0.5,25,Validation stop.,0.00762103,0.013879481,NaN,0.003944733
1000,40,0.1,trainbfg,TRUE,TRUE,0.1,364,Validation stop.,0.06969163,0.069446938,NaN,0.003997279
50,10,0.1,trainrp,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.004302599,NaN,NaN,0.004059645
1000,10,0.5,trainlm,TRUE,TRUE,1.00E-06,8,Maximum MU reached.,0.244317302,0.242763267,NaN,0.004079542
200,40,0.1,trainbfg,FALSE,TRUE,0.1,1000,Maximum epoch reached.,0.06570658,NaN,NaN,0.004097883
1000,20,0.5,trainbfg,FALSE,TRUE,0.1,1000,Maximum epoch reached.,0.291159544,NaN,NaN,0.004180455
50,10,0.1,trainlm,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.002466839,NaN,NaN,0.004216932
1000,5,0.5,trainrp,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.232171083,NaN,NaN,0.004224866
1000,20,0.1,trainrp,TRUE,FALSE,0.5,209,Validation stop.,0.013268663,0.014455286,NaN,0.004269331
50,10,0.1,traingdx,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.006710812,NaN,NaN,0.004324147
50,20,0.1,traingdx,TRUE,FALSE,0.5,134,Validation stop.,0.005576173,0.017092845,NaN,0.004378454
1000,5,0.5,traingdx,TRUE,TRUE,1.00E-06,68,Validation stop.,0.249615118,0.254883471,NaN,0.004483256
1000,10,0.1,traingdx,TRUE,TRUE,0.1,144,Validation stop.,4.453626273,4.453556593,NaN,0.004496316
50,10,0.1,trainrp,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.004246404,NaN,NaN,0.00450497
50,10,0.1,trainbfg,FALSE,FALSE,0.5,800,Minimum gradient reached.,0.005698532,NaN,NaN,0.004528995
50,10,0.1,traingdx,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.008786202,NaN,NaN,0.004545349
